cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2020,Actual,71241000,Highways,106.515,66883537.52992536,1,0,Other,2017,2,5025369,14.17627242894999,13.30917939158803
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2021,Actual,56598000,Highways,116.734,48484588.89440951,1,0,Other,2017,2,5049196,11.2093093633125,9.60243747606738
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alabama,AL,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,2,5076181,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2020,Actual,115576000,Highways,106.515,108506783.082195,1,0,Other,2017,1,733395,157.5903844449444,147.9513537482462
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2021,Actual,191011000,Highways,116.734,163629276.8173797,1,0,Other,2017,1,734420,260.0841480351842,222.8006819223056
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Alaska,AK,2022,Actual,152958000,Highways,128.921,118644751.4369265,1,0,Other,2017,1,734442,208.2642332546341,161.5440721485515
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2020,Actual,3178000,Highways,106.515,2983617.330892363,1,0,Other,2017,5,7158110,0.443971942314382,0.416816356676883
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2021,Actual,3762000,Highways,116.734,3222711.463669539,1,0,Other,2017,5,7274078,0.51717894694008,0.443040542549796
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arizona,AZ,2022,Actual,8167000,Highways,128.921,6334887.256536949,1,0,Other,2017,5,7377566,1.107004667935197,0.858669004999338
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2020,Actual,42400000,Highways,106.515,39806600.00938835,1,0,Other,2017,3,3011553,14.07911466276702,13.21796428931795
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2021,Actual,45580000,Highways,116.734,39046036.28762828,1,0,Other,2017,3,3026870,15.05845972902701,12.89980616532202
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Arkansas,AR,2022,Actual,48360000,Highways,128.921,37511344.15649894,1,0,Other,2017,3,3047704,15.86768268834506,12.30806671399156
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2020,Actual,12000,Highways,106.515,11266.01887058161,1,0,Other,2017,6,39555674,0.000303369878112,0.000284814230964
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2021,Actual,5000,Highways,116.734,4283.242243048297,1,0,Other,2017,6,39142565,0.000127738179652,0.000109426713427
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,California,CA,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,6,39142414,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2020,Actual,190676000,Highways,106.515,179013284.5139182,1,0,Other,2017,7,5775324,33.01563687162833,30.99623233500289
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2021,Actual,500000,Highways,116.734,428324.2243048298,1,0,Other,2017,7,5814036,0.085998779505321,0.073670721045558
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Colorado,CO,2022,Actual,122022000,Highways,128.921,94648660.80778152,1,0,Other,2017,7,5850935,20.85512828291547,16.17667275534278
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,8,3607701,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,8,3606607,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Connecticut,CT,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,8,3617925,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2020,Actual,105384000,Highways,106.515,98938177.72144768,1,0,Other,2017,10,989955,106.4533236359228,99.94209607653649
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2021,Actual,108436000,Highways,116.734,92891531.17343704,1,0,Other,2017,10,1005062,107.8898615209808,92.4236824926592
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Delaware,DE,2022,Actual,109546000,Highways,128.921,84971416.60396677,1,0,Other,2017,10,1020625,107.3322718922229,83.2542967338315
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2020,Actual,145445000,Highways,106.515,136548842.8859785,1,0,Other,2017,9,689545,210.9289458991074,198.0274570709359
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2021,Actual,325094000,Highways,116.734,278491270.7523087,1,0,Other,2017,9,669256,485.7543301815747,416.1206933554703
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,District of Columbia,DC,2022,Actual,359722000,Highways,128.921,279025139.4264705,1,0,Other,2017,9,676725,531.5630425948502,412.3168782392707
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,11,21538192,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,11,21831949,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Florida,FL,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,11,22379312,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Georgia,GA,2020,Actual,450246000,Highways,106.515,422706661.0336572,1,0,Other,2017,12,10713755,42.02504164039592,39.45457601313986
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Georgia,GA,2021,Actual,480292000,Highways,116.734,411441396.6796306,1,0,Other,2017,12,10792060,44.50420031022807,38.1244541523704
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Georgia,GA,2022,Actual,609941000,Highways,128.921,473112216.0082532,1,0,Other,2017,12,10931805,55.79508598991658,43.27850853617066
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,14,1455252,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,14,1447029,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,14,1440359,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,16,1839140,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2021,Actual,122000000,Highways,116.734,104511110.7303785,1,0,Other,2017,16,1904848,64.0471050708508,54.8658531968842
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2022,Actual,136870000,Highways,128.921,106165791.4536809,1,0,Other,2017,16,1944299,70.39555130152307,54.6036342423058
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2020,Actual,12492000,Highways,106.515,11727925.64427545,1,0,Other,2017,17,12821814,0.974277118666672,0.914685367006217
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2021,Actual,866687000,Highways,116.734,742446073.98016,1,0,Other,2017,17,12700641,68.23962664561576,58.45737029966913
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2022,Actual,600703000,Highways,128.921,465946587.4450245,1,0,Other,2017,17,12621821,47.59241950903915,36.91595590248225
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2020,Actual,102616000,Highways,106.515,96339482.70196685,1,0,Other,2017,18,6786587,15.12041325043059,14.19557175086194
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2021,Actual,97046000,Highways,116.734,83134305.34377302,1,0,Other,2017,18,6815907,14.23816375428831,12.19710089116137
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2022,Actual,128928000,Highways,128.921,100005429.6817431,1,0,Other,2017,18,6844545,18.83660637777968,14.61096825015295
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2020,Actual,65392000,Highways,106.515,61392292.16542271,1,0,Other,2017,15,3190546,20.49555154509604,19.24193920583584
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2021,Actual,60058000,Highways,116.734,51448592.52659893,1,0,Other,2017,15,3198613,18.77626333663997,16.08465685801906
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2022,Actual,67881000,Highways,128.921,52653175.20031647,1,0,Other,2017,15,3202820,21.19413516838286,16.43962982631446
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,19,2937745,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,19,2938338,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,19,2937324,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2020,Actual,6031000,Highways,106.515,5662113.31737314,1,0,Other,2017,20,4506302,1.338347940284517,1.256487762554116
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2021,Actual,6087000,Highways,116.734,5214419.106686997,1,0,Other,2017,20,4507583,1.350391107606893,1.156810447347724
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2022,Actual,14374000,Highways,128.921,11149463.62501067,1,0,Other,2017,20,4519233,3.180628217221816,2.467114137511977
